Date,USDT-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BCH-USD,ADA-USD,EOS-USD,XLM-USD,XMR-USD
2020-02-20,1.0025938749313354,9608.4755859375,257.949462890625,69.62484741210938,0.27239570021629333,372.4815979003906,0.058259859681129456,4.008198261260986,0.07116928696632385,76.60472106933594
2020-02-21,1.0031375885009766,9686.44140625,265.6006164550781,73.45092010498047,0.27493777871131897,379.3971862792969,0.05863989517092705,4.074948310852051,0.0719534233212471,80.40348815917969
2020-02-22,1.001828908920288,9663.181640625,262.33172607421875,75.1330795288086,0.27590107917785645,373.8331298828125,0.05833612382411957,4.122130870819092,0.06939034163951874,79.09111022949219
2020-02-23,0.9980165958404541,9924.515625,273.754150390625,79.53665161132812,0.28271082043647766,401.6355285644531,0.06151006370782852,4.381963729858398,0.07364498823881149,84.99668884277344
2020-02-24,0.9987999796867371,9650.1748046875,265.2164306640625,75.5356216430664,0.27062681317329407,377.5785827636719,0.058959946036338806,4.135195732116699,0.06937995553016663,79.12439727783203
2020-02-25,1.00145423412323,9341.705078125,247.81759643554688,71.18024444580078,0.25341174006462097,353.9774475097656,0.05636386200785637,4.089097499847412,0.06532538682222366,76.79724884033203
2020-02-26,1.0027419328689575,8820.5224609375,225.68026733398438,61.01430892944336,0.23085124790668488,316.6441345214844,0.04945320636034012,3.5451486110687256,0.05930270254611969,70.88343048095703
2020-02-27,0.9984134435653687,8784.494140625,226.75340270996094,61.50788497924805,0.23711630702018738,323.2856750488281,0.04968523606657982,3.6021018028259277,0.06001124903559685,69.82261657714844
2020-02-28,0.9970888495445251,8672.455078125,226.760498046875,59.76395797729492,0.23629626631736755,313.6275329589844,0.04861634597182274,3.5086121559143066,0.058305203914642334,68.1465072631836
2020-02-29,1.0063682794570923,8599.5087890625,219.8485107421875,58.54326248168945,0.23119333386421204,308.32623291015625,0.04754117131233215,3.5425853729248047,0.05745634064078331,66.48853302001953
2020-03-01,1.0004982948303223,8562.4541015625,218.97059631347656,57.956687927246094,0.22884632647037506,313.303466796875,0.04593243822455406,3.5345773696899414,0.056251656264066696,64.73641967773438
2020-03-02,0.9950000047683716,8869.669921875,230.5697784423828,60.995548248291016,0.23874731361865997,336.79327392578125,0.048953164368867874,3.685886859893799,0.05920640006661415,68.48241424560547
2020-03-03,1.0024969577789307,8787.7861328125,224.47962951660156,61.144474029541016,0.23438051342964172,329.2382507324219,0.04876093566417694,3.640902280807495,0.058352209627628326,66.028564453125
2020-03-04,1.0006216764450073,8755.24609375,224.51797485351562,60.38241958618164,0.23453021049499512,319.2500915527344,0.04900400713086128,3.596007823944092,0.05859344080090523,65.83587646484375
2020-03-05,1.0025222301483154,9078.7626953125,229.2681884765625,62.04545974731445,0.23958182334899902,337.24481201171875,0.05105714499950409,3.777566909790039,0.05975765362381935,68.63238525390625
2020-03-06,0.9984303116798401,9122.5458984375,243.52529907226562,63.02560043334961,0.24408835172653198,348.89349365234375,0.05144839361310005,3.830254316329956,0.06118133291602135,68.91769409179688
2020-03-07,1.0001821517944336,8909.9541015625,237.85308837890625,60.54631042480469,0.2370707094669342,330.8061218261719,0.04894450679421425,3.6560394763946533,0.05840858444571495,65.43820190429688
2020-03-08,1.009774923324585,8108.1162109375,200.68905639648438,51.728599548339844,0.206904336810112,276.1997985839844,0.04329124465584755,3.0765089988708496,0.05074382573366165,56.371768951416016
2020-03-09,0.9990477561950684,7923.64453125,201.986328125,50.168148040771484,0.20918092131614685,273.2071228027344,0.04148191958665848,3.059525966644287,0.051919762045145035,55.25153350830078
2020-03-10,1.0017205476760864,7909.7294921875,200.76724243164062,50.25638961791992,0.21223530173301697,271.7152404785156,0.04149520769715309,3.0795938968658447,0.051988501101732254,54.95383834838867
2020-03-11,0.9988062977790833,7911.43017578125,194.8685302734375,48.46378707885742,0.2080957144498825,266.85546875,0.039649173617362976,3.059894561767578,0.0503867082297802,54.11237335205078
2020-03-12,1.0535845756530762,4970.7880859375,112.34712219238281,30.930883407592773,0.1396351307630539,152.22499084472656,0.023960767313838005,1.8480905294418335,0.033440738916397095,33.01032257080078
2020-03-13,0.9996290802955627,5563.70703125,133.20181274414062,37.43795394897461,0.15935218334197998,176.49472045898438,0.028437314555048943,2.101775646209717,0.03953145444393158,36.83537292480469
2020-03-14,1.0016206502914429,5200.3662109375,123.30602264404297,34.39658737182617,0.14729222655296326,167.584716796875,0.026009073480963707,1.9611108303070068,0.037296731024980545,36.218406677246094
2020-03-15,1.0019866228103638,5392.31494140625,125.21430206298828,36.43709182739258,0.1539018452167511,178.311279296875,0.027119584381580353,2.050833225250244,0.03828173503279686,38.07060623168945
2020-03-16,0.9970040321350098,5014.47998046875,110.60587310791016,32.876216888427734,0.1410631388425827,170.7366485595703,0.024120565503835678,1.8843140602111816,0.03516089543700218,33.81647872924805
2020-03-17,0.9761454463005066,5225.62939453125,113.9427490234375,33.56386947631836,0.14452406764030457,180.32638549804688,0.02524309977889061,1.9305189847946167,0.03681955859065056,35.36676025390625
2020-03-18,0.9742484092712402,5238.4384765625,114.84226989746094,33.68417739868164,0.14310048520565033,179.0923309326172,0.02533562295138836,1.9454237222671509,0.035979125648736954,35.922000885009766
2020-03-19,1.0031931400299072,6191.19287109375,136.59385681152344,39.07376480102539,0.1650366634130478,221.2685546875,0.030451497063040733,2.290768623352051,0.04149411991238594,41.103572845458984
2020-03-20,0.9975561499595642,6198.7783203125,132.73716735839844,38.131954193115234,0.15686848759651184,214.42494201660156,0.029367566108703613,2.204615592956543,0.039919305592775345,40.118106842041016
2020-03-21,1.000949501991272,6185.06640625,132.81871032714844,38.34232711791992,0.15817925333976746,219.3675079345703,0.02941369079053402,2.2776544094085693,0.03961575776338577,41.149391174316406
2020-03-22,0.9990316033363342,5830.2548828125,123.3211441040039,35.628055572509766,0.15021374821662903,203.6722869873047,0.02708895318210125,2.133652448654175,0.037198204547166824,38.34322738647461
2020-03-23,0.9968118071556091,6416.31494140625,134.91160583496094,38.76576614379883,0.15741880238056183,219.33047485351562,0.029082482680678368,2.2750933170318604,0.039260365068912506,44.14022445678711
2020-03-24,1.000473141670227,6734.8037109375,138.76144409179688,40.49064636230469,0.16225497424602509,227.24609375,0.030162537470459938,2.3562088012695312,0.04030463099479675,47.180721282958984
